longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
3.3527171,50.6195822,Sale,215000,House,House,47417,7503,To be renovated,130,2,1,False,,False,Hainaut,Chaussée de Lannoy,75,1936,On contract,,,980,700,1,
3.93218,50.40176,Sale,195000,House,House,33896,7080,,208,3,,False,,False,Hainaut,,,,On contract,,,180,,,
4.3957235,50.4055222,Sale,79000,House,House,39975,6030,To be renovated,125,2,1,,,,Hainaut,,,,On contract,79502,,219,,,
3.9120127,50.4403988,Sale,185000,House,House,44163,7033,Normal,150,3,1,,,,Hainaut,Rue Louis Caty,113,,On contract,62035,,160,,,
4.449213,50.4157265,Sale,85000,Appartment,Flat,27202,6000,To renovate,85,2,1,True,,,Hainaut,,,,,24054,,,,1,
3.219272,50.7459126,Sale,105000,House,House,38349,7700,To be renovated,115,3,1,False,,False,Hainaut,,,1930,,,,87,,,
3.8383261,50.4048263,Sale,195000,House,House,33896,7340,To be renovated,250,3,1,False,,False,Hainaut,,,,On contract,,,487,,,
4.4470025,50.4146823,Sale,189000,Appartment,Flat,43302,6000,Excellent,126,3,2,True,24,False,Hainaut,Avenue de Waterloo,4,1970,On contract,25213,,,,,
4.449213,50.4157265,Sale,89999,Appartment,Flat,39432,6000,To renovate,91,2,1,True,6,False,Hainaut,,,1969,On contract,28900,,,,,
4.33217,50.39821,Sale,382000,House,House,38144,6142,New,147,3,1,,,,Hainaut,,,,,,,910,,1,
3.3098471,50.6803312,Sale,399000,House,House,44267,7730,Normal,247,4,2,,,False,Hainaut,,,,On contract,62428,,621,390,,
4.33217,50.39821,Sale,413200,House,House,38144,6142,New,189,3,1,,,,Hainaut,,,,,,,910,,1,
3.9885337,50.5182081,Sale,399000,House,House,48110,7061,Normal,192,2,1,False,169,False,Hainaut,Rue des Bruyères,22,1899,,111650,,5499,3325,2,
3.3880367,50.6056059,Sale,199000,Appartment,Duplex,38437,7500,Normal,77,3,1,False,,False,Hainaut,,,,On contract,19228,False,,,,
3.2326156,50.722568,Sale,149000,House,House,43091,7712,,185,3,1,False,,False,Hainaut,,,,,,,182,,1,
3.20246734,50.73562135,Sale,139000,House,House,40656,7700,To be renovated,147,3,,False,,False,Hainaut,Rue des Canonniers,93,,On contract,,,,,,
3.219272,50.7459126,Sale,160000,House,House,38349,7700,,100,3,1,False,,False,Hainaut,,,1875,,,,97,,,
4.4014834,50.3821694,Sale,595000,House,MixedBuilding,27511,6032,,180,4,1,,,,Hainaut,Rue de Bomerée,72,,On contract,110600,,1199,,,
3.219272,50.7459126,Sale,339000,House,House,38349,7700,,149,2,1,False,,False,Hainaut,,,,,,,298,,2,
3.463517,50.6157317,Sale,695000,House,House,43090,7531,Normal,325,3,3,False,,False,Hainaut,,,,,,,3369,,,
4.4532254,50.5384081,Sale,395000,House,MasterHouse,27461,6210,To renovate,281,4,1,,,False,Hainaut,Rue de Sart-Dames Avelines,12,,On contract,149422,,823,413,,
4.1724,50.5606,Sale,280000,House,House,47635,7190,Normal,108,3,1,,41,,Hainaut,,,,On contract,19595,,,,,
4.4159978,50.4278647,Sale,250000,House,House,40787,6030,Excellent,,3,1,False,25,False,Hainaut,Rue des Acacias,52,2017,Immediately,13773,,253,150,1,
3.445065,50.756936,Sale,539000,House,Villa,38349,7760,,,3,1,False,,False,Hainaut,,,2021,Negotiable,,,1113,,,
3.219272,50.7459126,Sale,139000,House,House,38349,7700,,97,2,1,False,,False,Hainaut,,,,Negotiable,,,50,,,
3.4124667,50.6075294,Sale,239000,House,House,46133,7500,,286,3,1,,,,Hainaut,Vieux Chemin d'Ath,35,,,81011,,568,,,
4.141006,50.608334,Sale,335000,House,House,47635,7090,,180,4,2,,,True,Hainaut,,,,On contract,,,,,,
3.8989257,50.4077446,Sale,140000,House,House,40953,7080,Normal,120,2,1,False,,,Hainaut,Rue Alfred Defuisseaux,82,,On contract,67459,,120,,,
3.5983484,50.5033527,Sale,299000,House,House,0,7600,,,4,,,,,Hainaut,Boulevard Léopold III,109,,On contract,,,,,,
3.219272,50.7459126,Sale,145000,House,House,38349,7700,To be renovated,160,2,1,False,,False,Hainaut,,,1930,,,,157,,,
3.2326156,50.722568,Sale,459000,House,Villa,46252,7712,,290,3,1,False,,False,Hainaut,,,,,,,2373,,2,
4.332246,50.4304684,Sale,220500,House,House,0,6141,,,1,,,,,Hainaut,Rue Prisonniers de Guerre,78,,On contract,,,,,,
3.8348594,50.7047124,Sale,275000,House,House,46633,7860,Excellent,200,4,2,,30,,Hainaut,,,1936,,,,,750,,
3.219272,50.7459126,Sale,139000,House,House,46633,7700,Excellent,148,2,1,,5,,Hainaut,,,1936,,,,,146,,
3.3880367,50.6056059,Sale,170000,House,House,46633,7500,New,140,2,1,,,,Hainaut,,,1950,,,,,6,,
3.7803846,50.6283597,Sale,185000,Appartment,Flat,47433,7800,Normal,82,2,1,False,,,Hainaut,Rue des Récollets,16,2012,,,,,,,
3.3788194,50.6379973,Sale,325000,House,Villa,46633,7540,Excellent,166,2,1,,12,,Hainaut,,,1979,,,,,850,,
3.9057417,50.5496049,Sale,303533,House,House,33620,7870,New,149,3,1,False,,False,Hainaut,Rue de la Garde Lens,,2025,,,,475,,,
4.5081045,50.4011019,Sale,160000,House,House,0,6200,To be renovated,,3,1,,,,Hainaut,rue de Couillet,193,,On contract,,,177,,,
3.6784533,50.7340811,Sale,440163,House,House,38144,7890,New,189,4,2,,,,Hainaut,,,,,,,1150,,,
3.7659709,50.4792056,Sale,504002,House,House,38144,7334,New,233,4,2,,,,Hainaut,,,,,,,1017,,2,True
3.219272,50.7459126,Sale,425000,House,Villa,46633,7700,Excellent,400,5,1,,25,,Hainaut,,,2001,,,,,600,,
